ID;Área;Concepto;Descripción;Autor_referente;Año_aprox;Aplicación;Ejemplo_práctico
1;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;1950;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
2;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;1951;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
3;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;1952;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
4;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;1953;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
5;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;1954;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
6;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;1955;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
7;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;1956;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
8;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;1957;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
9;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;1958;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
10;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;1959;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
11;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;1960;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
12;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;1961;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
13;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;1962;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
14;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;1963;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
15;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;1964;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
16;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;1965;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
17;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;1966;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
18;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;1967;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
19;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;1968;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
20;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;1969;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
21;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;1970;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
22;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;1971;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
23;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;1972;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
24;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;1973;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
25;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;1974;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
26;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;1975;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
27;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;1976;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
28;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;1977;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
29;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;1978;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
30;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;1979;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
31;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;1980;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
32;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;1981;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
33;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;1982;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
34;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;1983;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
35;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;1984;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
36;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;1985;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
37;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;1986;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
38;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;1987;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
39;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;1988;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
40;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;1989;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
41;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;1990;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
42;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;1991;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
43;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;1992;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
44;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;1993;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
45;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;1994;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
46;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;1995;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
